Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Target
-529.150757,104.431587,70.155014,42.595573,31.28319,27.506977,22.269215,16.563372,15.326893,16.716825,14.707142,8.446252,3.871402,4.893015,8.417204,9.325685,6.879937,3.962098,2.855496,3.370863,4.458168,5.342813,5.608436,4.753032,2.933595,1.404434,1.26488,2.176501,3.008374,3.021715,2.380153,1.698885,1.294755,1.23885,1.441585,1.69159,1.746069,1.693878,1.757436,1.920915,2.005795,1.836306,1.489365,1.252085,1.144488,1.076571,1.158163,1.381553,1.533002,1.380106,1.001571,0.867757,1.11532,1.471709,1.650386,1.538959,1.17127,0.743134,0.463806,0.546412,0.964489,1.42829,1.567916,1.254331,0.754972,0.437209,0.428709,0.63728,0.837949,0.830254,0.598464,0.302137,0.15534,0.27631,0.557402,0.776883,0.760285,0.492271,0.078913,-0.250852,-0.282866,0.018116,0.422667,0.652458,0.613928,0.430157,0.230064,0.066994,-0.045349,-0.036438,0.098178,0.174156,0.082223,-0.056921,-0.066891,0.040676,0.063944,-0.079786,-0.214869,-0.162874,URTI
-583.074829,95.407684,57.615402,31.388033,28.196554,33.571594,31.646765,22.791107,16.666695,15.631426,14.037862,9.235232,5.834866,7.332277,10.597385,10.617828,7.18068,3.737869,2.680353,3.642111,5.495842,7.373888,8.11669,6.516584,3.175952,0.672749,0.915031,3.079237,4.896942,5.046109,3.818749,2.223233,1.201658,1.279062,2.220854,3.08837,3.011886,2.197924,1.734919,2.253271,3.105819,3.217214,2.303519,1.041093,0.254468,0.255199,0.83096,1.626407,2.25317,2.401405,2.033804,1.478346,1.116575,1.077294,1.194583,1.177025,0.816295,0.264916,-0.043318,0.216773,0.885188,1.436513,1.422287,0.867344,0.23056,-0.055081,0.072147,0.399605,0.598132,0.472449,0.130745,-0.083723,0.077697,0.502223,0.846208,0.875891,0.598904,0.190156,-0.221342,-0.507702,-0.475966,-0.074602,0.415787,0.598651,0.327813,-0.175526,-0.536244,-0.501681,-0.143062,0.254657,0.429295,0.255098,-0.177893,-0.543278,-0.550869,-0.261256,-0.022823,-0.075569,-0.288813,-0.341671,URTI
-596.955933,116.085419,60.695057,25.55599,26.20923,38.512352,36.051533,18.640724,3.533884,0.808338,5.736544,9.657865,9.137486,5.530643,2.17075,2.102858,5.24815,7.930713,7.101245,4.055319,2.352255,3.208253,4.84504,5.344265,4.519351,3.37991,2.771019,2.687288,2.5834,2.029228,1.29039,1.299299,2.338073,3.126726,2.460672,1.24467,1.296082,2.599376,3.3373,2.632774,1.730682,1.989178,2.806933,2.673271,1.549789,0.882451,1.41092,2.285538,2.392077,1.722982,1.116549,1.135484,1.563458,1.898219,1.854553,1.480343,1.074656,0.964271,1.14171,1.254618,1.045059,0.716619,0.660537,0.909466,1.083677,0.914378,0.57338,0.395859,0.450297,0.553481,0.582518,0.5703,0.561265,0.554979,0.528091,0.420658,0.236455,0.125942,0.203278,0.327269,0.255575,-0.01047,-0.176925,-0.025141,0.296553,0.419515,0.202626,-0.089694,-0.138241,0.034383,0.200577,0.237484,0.160367,0.012554,-0.130141,-0.170832,-0.082227,0.024492,0.015112,-0.094375,Healthy
-418.969116,68.048729,48.216747,33.118885,28.064762,26.474794,22.738909,18.174433,15.947225,15.115901,13.330146,10.850938,9.65202,9.752692,9.589607,8.60368,7.715221,7.177804,6.387998,5.581184,6.114265,8.006547,9.114248,7.700382,4.96471,3.453428,3.851614,4.572692,4.400282,3.854681,3.876614,4.287725,4.379181,4.040833,3.684263,3.384859,2.966722,2.508223,2.255157,2.205781,2.19937,2.289483,2.661476,3.177351,3.423134,3.194969,2.73214,2.396837,2.321804,2.398304,2.4722,2.486957,2.492258,2.537297,2.622238,2.658924,2.536553,2.276509,2.027675,1.898038,1.843648,1.786754,1.714325,1.656898,1.631599,1.625961,1.630649,1.623871,1.561625,1.432485,1.270619,1.170009,1.202151,1.317989,1.346326,1.184248,0.95658,0.890454,1.023343,1.127077,0.98465,0.695253,0.548494,0.633496,0.730271,0.635027,0.429802,0.328687,0.382092,0.47376,0.479119,0.397665,0.328282,0.333125,0.377015,0.367413,0.224225,0.003684,-0.1258,-0.036324,Asthma
-441.501221,100.973534,74.025116,43.224682,19.71509,7.853205,5.498144,8.017551,11.749791,14.897519,16.785975,17.14818,15.979633,13.552963,10.306103,6.768775,3.613372,1.563156,1.004815,1.659638,2.763618,3.646559,4.119721,4.325745,4.335412,3.999184,3.176634,2.013054,0.927798,0.336129,0.38483,0.909467,1.59449,2.185873,2.614454,2.965263,3.333231,3.692587,3.896003,3.801208,3.404836,2.856258,2.335146,1.910122,1.522904,1.113456,0.737818,0.528814,0.535959,0.636049,0.629731,0.420558,0.084046,-0.224995,-0.402304,-0.437189,-0.376766,-0.286055,-0.227084,-0.234801,-0.29758,-0.374121,-0.434888,-0.476311,-0.49487,-0.470225,-0.39268,-0.297618,-0.248261,-0.274266,-0.335084,-0.348531,-0.250512,-0.032308,0.254486,0.508914,0.612767,0.496573,0.205847,-0.10286,-0.25978,-0.202035,-0.011512,0.160637,0.211559,0.146964,0.047557,-0.012299,-0.018088,-0.003183,0.00148,-0.003171,-0.003913,-0.010806,-0.056962,-0.158506,-0.283744,-0.369238,-0.363441,-0.253483,COPD
-443.015717,106.845009,74.780205,40.03315,16.150705,6.414668,5.623073,7.302594,8.734268,10.403657,12.732615,14.533298,14.256553,11.709416,8.09551,4.730742,2.155521,0.386362,-0.481122,-0.242964,0.98227,2.605332,3.957437,4.724201,4.930986,4.62582,3.759405,2.412742,1.006693,0.128867,0.09615,0.711925,1.474381,2.009725,2.296773,2.515517,2.756296,2.920501,2.87145,2.608378,2.257901,1.928425,1.622127,1.291161,0.93941,0.643456,0.488392,0.502181,0.639889,0.803925,0.879033,0.782782,0.519927,0.19759,-0.029626,-0.055519,0.112112,0.363731,0.561276,0.613902,0.510462,0.305349,0.081931,-0.084572,-0.154605,-0.134121,-0.06022,0.028518,0.112471,0.186834,0.245318,0.27542,0.269898,0.237063,0.195628,0.159288,0.125992,0.080941,0.012094,-0.071793,-0.137123,-0.146744,-0.094558,-0.019951,0.019935,-0.000613,-0.053875,-0.08838,-0.079969,-0.050476,-0.037134,-0.051366,-0.074328,-0.089444,-0.107984,-0.155437,-0.235857,-0.315768,-0.343965,-0.286298,COPD
-477.393494,67.017281,54.476376,39.214233,26.031721,17.420362,13.345278,12.381175,12.959596,13.979362,14.778235,14.894406,13.999727,12.024458,9.247112,6.215981,3.557141,1.7627,1.025991,1.200425,1.920059,2.799684,3.566165,4.054132,4.141707,3.747568,2.908457,1.83478,0.856882,0.291971,0.318447,0.90719,1.829158,2.753775,3.403619,3.665651,3.583183,3.261535,2.78916,2.231921,1.665751,1.181291,0.846997,0.675213,0.627397,0.646196,0.681787,0.700482,0.685099,0.634792,0.559702,0.467012,0.352659,0.217085,0.092557,0.040627,0.104613,0.261093,0.426192,0.515376,0.499465,0.409359,0.298231,0.205033,0.146225,0.126332,0.14646,0.204279,0.291184,0.391678,0.486302,0.557344,0.593823,0.591773,0.550566,0.470796,0.35853,0.233245,0.128293,0.075411,0.082391,0.126304,0.172105,0.19924,0.210124,0.215211,0.214474,0.196184,0.152145,0.090905,0.035065,0.006169,0.010111,0.03306,0.050411,0.043655,0.013731,-0.019027,-0.027591,0.006188,COPD
-424.268616,59.955784,50.275135,38.291901,27.447374,19.641413,15.319858,14.07745,14.971409,16.690376,17.948116,17.959871,16.606979,14.217122,11.247156,8.132569,5.296245,3.13801,1.914241,1.616304,2.000694,2.753793,3.620424,4.395525,4.869637,4.867006,4.361364,3.52251,2.622871,1.900593,1.495348,1.448267,1.704059,2.127019,2.568292,2.936973,3.198875,3.326976,3.29019,3.088733,2.766406,2.37802,1.964742,1.565814,1.230266,0.99919,0.881703,0.853428,0.869529,0.875565,0.822545,0.692446,0.51324,0.341686,0.227275,0.188536,0.211035,0.25684,0.281777,0.259643,0.197729,0.127541,0.079673,0.066642,0.082606,0.110636,0.129363,0.120386,0.079341,0.025523,-0.002844,0.025889,0.10813,0.204678,0.274214,0.304756,0.30827,0.29225,0.251241,0.188247,0.129249,0.103446,0.112686,0.129677,0.124481,0.085219,0.017227,-0.063406,-0.130982,-0.157384,-0.131116,-0.069867,-0.009332,0.021385,0.01354,-0.025395,-0.080212,-0.129933,-0.14933,-0.119842,COPD
-432.460693,93.293724,72.090553,46.869083,25.519981,11.559861,4.879229,4.032578,7.174047,11.813128,15.208493,15.714115,13.584327,10.271022,7.062939,4.4553,2.491856,1.260659,0.923119,1.44327,2.462672,3.456314,4.000935,3.959131,3.47383,2.783838,2.025158,1.225997,0.482984,0.04505,0.123567,0.632297,1.209087,1.537208,1.604674,1.626358,1.770613,2.020772,2.26982,2.461752,2.606726,2.706364,2.721733,2.622008,2.439296,2.258963,2.154026,2.125691,2.101255,1.990335,1.753138,1.426494,1.091991,0.820376,0.639464,0.541034,0.504,0.504707,0.510517,0.478543,0.377166,0.215705,0.045775,-0.077442,-0.13674,-0.152619,-0.149156,-0.135644,-0.121832,-0.127967,-0.161001,-0.191732,-0.178569,-0.115625,-0.040443,0.008961,0.027422,0.026627,0.006483,-0.036819,-0.082525,-0.090156,-0.041868,0.031705,0.077648,0.068877,0.021884,-0.026425,-0.050107,-0.044622,-0.018425,0.016001,0.042964,0.04332,0.002755,-0.074006,-0.158066,-0.210438,-0.205175,-0.140299,COPD
-456.223145,86.768166,66.525948,43.225529,24.180153,11.90546,5.620096,4.084287,6.393569,10.870766,14.851933,16.226112,14.806417,11.894368,8.729215,5.718001,2.961912,0.908863,0.164281,0.816729,2.245197,3.631824,4.534563,4.961651,5.041128,4.764123,4.052511,2.983739,1.879343,1.134785,0.950533,1.226839,1.710144,2.219622,2.706962,3.131675,3.369292,3.299519,2.957545,2.528248,2.175454,1.916535,1.677842,1.431928,1.235504,1.147397,1.156672,1.203063,1.24018,1.253368,1.227558,1.129714,0.940566,0.702453,0.520235,0.496025,0.647829,0.88365,1.057597,1.060949,0.87887,0.584866,0.291454,0.091102,0.013687,0.02251,0.054423,0.070534,0.071994,0.074815,0.084934,0.10309,0.135977,0.183195,0.21733,0.199371,0.124742,0.040589,0.003308,0.02225,0.056014,0.062526,0.038134,0.003042,-0.036198,-0.091542,-0.161641,-0.213821,-0.211011,-0.152206,-0.075151,-0.019065,0.003196,-0.007211,-0.058789,-0.160101,-0.285198,-0.369182,-0.355044,-0.242824,COPD
-355.142944,178.782776,22.678917,-60.090305,4.90728,18.243475,13.228351,0.103614,1.773677,2.023357,2.108764,7.829271,10.128702,4.149508,2.356897,-0.699942,6.52732,-0.488836,5.018132,6.954504,2.221684,1.631688,1.142265,4.388916,1.991127,2.452849,1.532491,3.174911,-1.033305,6.496859,-0.540859,5.874947,-0.865692,3.675998,-0.131184,4.406573,-0.834832,4.282393,-1.639458,6.95944,-3.913884,5.234818,-0.662957,4.099243,-2.240043,3.895407,-0.380086,2.915258,-1.038026,3.635828,-2.831821,5.651091,-2.475601,3.423823,-2.371154,4.831069,-3.136303,3.378414,-1.226538,2.353508,-0.462406,1.676116,0.010542,1.98696,-1.450682,2.388156,-1.066301,1.006397,0.663124,-0.548867,0.84595,1.431055,-1.865098,2.419743,-1.209487,1.346433,-0.39834,1.18131,-0.70042,0.764795,-0.336378,1.329677,-1.468305,1.233562,0.110488,0.312078,-1.00847,1.519503,-1.147194,0.143443,0.245952,-0.344992,-0.212825,0.446082,-0.792299,1.326527,-1.559124,1.770718,-2.470988,1.581619,URTI
